Brand	Series	Model	Description
Brother	1170 IntelliFAX	PC201	Brother PC201 Fax Cartridge (PC201)
Brother	1170 IntelliFAX	PC202RF	Brother PC202 Fax Ribbon Refill Roll, Dual Pack (PC202RF)
Brother	1270 IntelliFAX	PC201	Brother PC201 Fax Cartridge (PC201)
Brother	1270 IntelliFAX	PC202RF	Brother PC202 Fax Ribbon Refill Roll, Dual Pack (PC202RF)
Brother	1270e IntelliFAX	PC201	Brother PC201 Fax Cartridge (PC201)
Brother	1270e IntelliFAX	PC202RF	Brother PC202 Fax Ribbon Refill Roll, Dual Pack (PC202RF)
Brother	1270p IntelliFAX	PC202RF	Brother PC202 Fax Ribbon Refill Roll, Dual Pack (PC202RF)
Brother	1360 IntelliFAX
Brother	1360 IntelliFAX	LC51BKS	Brother LC51 Black Ink Cartridge (LC51BKS)
Brother	1360 IntelliFAX	LC512PKS	Brother LC51 Black Ink Cartridges, Twin Pack (LC512PKS)
Brother	1570MC IntelliFAX	PC201	Brother PC201 Fax Cartridge (PC201)
Brother	1575MC IntelliFAX	PC201	Brother PC201 Fax Cartridge (PC201)
Brother	1840C IntelliFAX
Brother	1940CN IntelliFAX	IJLC41K	fuzion New Compatible Brother LC41 Black Ink Cartridges, Standard Yield (LC41BK)
Brother	1940CN IntelliFAX	IJLC41C	fuzion New Compatible Brother LC41 Cyan Ink Cartridges, Standard Yield (LC41C)
Brother	1940CN IntelliFAX	IJLC41Y	fuzion New Compatible Brother LC41 Yellow Ink Cartridges, Standard Yield (LC41Y)
Brother	1940CN IntelliFAX	IJLC41M	fuzion New Compatible Brother LC41 Magenta Ink Cartridges, Standard Yield (LC41M)
Brother	2300ML IntelliFAX
Brother	2400ML IntelliFAX
Brother	2440C IntelliFAX	IJLC41K	fuzion New Compatible Brother LC41 Black Ink Cartridges, Standard Yield (LC41BK)
Brother	2440C IntelliFAX	IJLC41C	fuzion New Compatible Brother LC41 Cyan Ink Cartridges, Standard Yield (LC41C)
Brother	2440C IntelliFAX	IJLC41Y	fuzion New Compatible Brother LC41 Yellow Ink Cartridges, Standard Yield (LC41Y)
Brother	2440C IntelliFAX	IJLC41M	fuzion New Compatible Brother LC41 Magenta Ink Cartridges, Standard Yield (LC41M)
Brother	2480C IntelliFAX
Brother	2480C IntelliFAX	LC51CS	Brother LC51 Cyan Ink Cartridge (LC51CS)
Brother	2480C IntelliFAX	LC51MS	Brother LC51 Magenta Ink Cartridge (LC51MS)
Brother	2480C IntelliFAX	LC51YS	Brother LC51 Yellow Ink Cartridge (LC51YS)
Brother	2480C IntelliFAX	LC513PKS	Brother LC51 Colour Ink Cartridges, Combo Pack
Brother	2480C IntelliFAX	LC51BKS	Brother LC51 Black Ink Cartridge (LC51BKS)
Brother	2480C IntelliFAX	LC512PKS	Brother LC51 Black Ink Cartridges, Twin Pack (LC512PKS)
Brother	2500ML IntelliFAX
Brother	2600 IntelliFAX	TN5000PF	Brother TN-5000PF Black Toner Cartridge
Brother	2750 IntelliFAX	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	2750 IntelliFAX	TN5000PF	Brother TN-5000PF Black Toner Cartridge
Brother	2800 IntelliFAX	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	2820-IntelliFax	GSDR350-NC	fuzion New Compatible Brother DR350 Drum Unit (GSDR350-NC)
Brother	2820-IntelliFax	GSTN350-NC	fuzion New Compatible Brother TN350 Black Toner Cartridges, Standard Yield (GSTN350-NC)
Brother	2840 IntelliFax
Brother	2840 IntelliFax	GSDR420-NC	fuzion New Compatible Brother DR420 Drum Unit (GSDR420-NC)
Brother	2850-IntelliFax
Brother	2900 IntelliFAX	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	2910-IntelliFax	GSDR350-NC	fuzion New Compatible Brother DR350 Drum Unit (GSDR350-NC)
Brother	2910-IntelliFax	GSTN350-NC	fuzion New Compatible Brother TN350 Black Toner Cartridges, Standard Yield (GSTN350-NC)
Brother	2920-IntelliFax	GSDR350-NC	fuzion New Compatible Brother DR350 Drum Unit (GSDR350-NC)
Brother	2920-IntelliFax	GSTN350-NC	fuzion New Compatible Brother TN350 Black Toner Cartridges, Standard Yield (GSTN350-NC)
Brother	2940 IntelliFax
Brother	3500ML IntelliFAX
Brother	3550 IntelliFAX	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	3550 IntelliFAX	TN5000PF	Brother TN-5000PF Black Toner Cartridge
Brother	3650-IntelliFax	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	3650-IntelliFax	TN5000PF	Brother TN-5000PF Black Toner Cartridge
Brother	3750-IntelliFax	TN5000PF	Brother TN-5000PF Black Toner Cartridge
Brother	3800 IntelliFAX	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	4100 IntelliFAX
Brother	4100 IntelliFAX
Brother	4100 IntelliFAX
Brother	4100 IntelliFAX	TN460	Brother TN460 Black Toner Cartridge, High Yield (TN460)
Brother	4100 IntelliFAX	TN430	Brother TN430 Black Toner Cartridge (TN430)
Brother	4100 IntelliFAX	DR400	Brother DR400 Drum Cartridge (DR400)
Brother	4100e-IntelliFax
Brother	4750 IntelliFAX	TN460	Brother TN460 Black Toner Cartridge, High Yield (TN460)
Brother	4750 IntelliFAX	TN430	Brother TN430 Black Toner Cartridge (TN430)
Brother	4750 IntelliFAX	DR400	Brother DR400 Drum Cartridge (DR400)
Brother	4750e-IntelliFax
Brother	560 IntelliFAX	PC402RF	Brother PC402 Fax Film Refill (PC402RF)
Brother	560-Personal FAX	DPC402RF	Black Thermal Printer Ribbon for PC402RF
Brother	565 IntelliFAX	PC402RF	Brother PC402 Fax Film Refill (PC402RF)
Brother	5750 IntelliFAX
Brother	5750e-IntelliFax
Brother	580 IntelliFAX	PC402RF	Brother PC402 Fax Film Refill (PC402RF)
Brother	580MC IntelliFAX	DPC402RF	Black Thermal Printer Ribbon for PC402RF
Brother	580MC IntelliFAX	PC402RF	Brother PC402 Fax Film Refill (PC402RF)
Brother	750 IntelliFAX	PC301	Brother PC301 Fax Cartridge (PC301)
Brother	750 IntelliFAX	PC302RF	Brother PC302 Fax Ribbon Refill Roll, Dual Pack (PC302RF)
Brother	770 IntelliFAX	PC301	Brother PC301 Fax Cartridge (PC301)
Brother	770 IntelliFAX	PC302RF	Brother PC302 Fax Ribbon Refill Roll, Dual Pack (PC302RF)
Brother	775 IntelliFAX	PC301	Brother PC301 Fax Cartridge (PC301)
Brother	775 IntelliFAX	PC302RF	Brother PC302 Fax Ribbon Refill Roll, Dual Pack (PC302RF)
Brother	8350P
Brother	870MC IntelliFAX	PC301	Brother PC301 Fax Cartridge (PC301)
Brother	870MC IntelliFAX	PC302RF	Brother PC302 Fax Ribbon Refill Roll, Dual Pack (PC302RF)
Brother	885MC IntelliFAX
Brother	DCP-1000	GSTN250-NC	fuzion New Compatible Brother TN250 Black Toner Cartridges, Standard Yield (GSTN250-NC)
Brother	DCP-1200
Brother	DCP-130C
